Date,Name substring,Email split,Number Pow,Grade equal
2011-12-29,Vanessa Smith,bguzman@example.org,103,D
2019-03-20,William Spears,brianmckenzie@example.com,436,D
2018-01-10,Kelsey Steele,sanchezmichael@example.net,861,C
2020-05-31,Colin Brown,bryanowens@example.com,271,A
2019-10-18,Robert Rogers,melendezmary@example.com,107,B
2019-07-14,Stephen Hansen,johnevans@example.org,72,B
2018-07-21,Brett Campbell,joseph77@example.org,701,D
2019-07-14,Ashley Juarez,wcoleman@example.net,21,B
2013-06-26,Jason Hansen,barbara30@example.org,615,D
2017-12-03,Thomas Rogers,millermatthew@example.com,122,C
2010-01-27,Jerry Walker,mjones@example.org,467,A
2022-02-20,Maria Hudson,bfields@example.org,215,D
2016-02-05,Mark Davis,breannagrant@example.org,331,C
2018-09-03,Katherine Hardin,michaeldaniels@example.org,459,B
2014-12-08,Joshua Foster,kathleenwalker@example.com,88,A
2018-01-20,Alexander Clark,bpatrick@example.org,373,C
2020-12-05,Jennifer Alexander,brownvanessa@example.com,100,C
2010-08-30,Danny Simon,katherineramos@example.org,872,B
2014-03-11,Amanda Jones,qgarcia@example.net,664,A
2011-01-31,Elizabeth Lopez,kristinjones@example.net,131,A
2016-12-27,Robert Stevens,caleb16@example.net,662,D
2017-12-20,Sara Hartman,bwoods@example.com,309,B
2021-07-24,David Donaldson,heathcarl@example.com,770,A
2013-12-05,Travis Key,jonesjacqueline@example.org,344,D
2013-09-14,William Conner,troy64@example.net,492,D
2021-07-24,Amanda Fleming,williamskimberly@example.net,414,D
2020-05-31,Carla Cole,vargasjessica@example.com,806,B
2018-07-21,Laura Cross,matthew17@example.com,386,A
2016-08-27,Charles Reyes,erin11@example.org,192,C
2010-01-14,Michelle Flores,alicia75@example.net,956,A
2017-04-20,Eric Reed,reyeselizabeth@example.org,277,C
2020-08-21,Maria Brown,mary50@example.com,161,D
2022-08-18,Dana Black,johnsondebra@example.net,460,A
2021-06-17,Stephanie Jones,zhill@example.com,314,A
2016-01-17,Robert Greene,earnold@example.net,22,B
2020-04-04,Daniel Pierce,crawfordhannah@example.com,253,D
2020-02-24,Michael Chase,rodriguezkevin@example.com,748,B
2015-07-16,Steven Reyes,julielewis@example.com,857,B
2020-09-29,Maria Rice,bmaddox@example.org,561,A
2016-02-01,Mike Torres,ejones@example.org,475,A
2021-06-09,Joseph Gardner,englishkaitlyn@example.com,59,B
